,Wavelength,Reflectivity
0,300.0,86.1541557404031
1,302.0,86.295873212735
2,304.0,86.43641804342835
3,306.0,86.5757902324831
4,308.0,86.71398977989931
5,310.0,86.85101668567692
6,312.0,86.98687094981598
7,314.0,87.12155257231646
8,316.0,87.25506155317836
9,318.0,87.38739789240168
10,320.0,87.51856158998646
11,322.0,87.64855264593263
12,324.0,87.77737106024024
13,326.0,87.90501683290928
14,328.0,88.03148996393975
15,330.0,88.15679045333165
16,332.0,88.28091830108498
17,334.0,88.40387350719972
18,336.0,88.52565607167591
19,338.0,88.64626599451351
20,340.0,88.76570327571254
21,342.0,88.883967915273
22,344.0,89.00105991319487
23,346.0,89.1169792694782
24,348.0,89.23172598412293
25,350.0,89.3453000571291
26,352.0,89.4577014884967
27,354.0,89.56893027822572
28,356.0,89.67898642631617
29,358.0,89.78786993276805
30,360.0,89.89558079758136
31,362.0,90.00211902075608
32,364.0,90.10748460229226
33,366.0,90.21167754218982
34,368.0,90.31469784044884
35,370.0,90.41654549706928
36,372.0,90.51722051205114
37,374.0,90.61672288539444
38,376.0,90.71505261709916
39,378.0,90.81220970716531
40,380.0,90.90819415559291
41,382.0,91.0030059623819
42,384.0,91.09664512753233
43,386.0,91.1891116510442
44,388.0,91.28040553291747
45,390.0,91.37052677315219
46,392.0,91.45947537174834
47,394.0,91.5472513287059
48,396.0,91.63385464402491
49,398.0,91.71928531770533
50,400.0,91.80354334974717
51,402.0,91.88662874015046
52,404.0,91.96854148891515
53,406.0,92.04928159604128
54,408.0,92.12884906152885
55,410.0,92.20724388537784
56,412.0,92.28446606758824
57,414.0,92.3605156081601
58,416.0,92.43539250709335
59,418.0,92.50909676438806
60,420.0,92.58162838004418
61,422.0,92.65298735406174
62,424.0,92.7231736864407
63,426.0,92.79218737718111
64,428.0,92.86002842628295
65,430.0,92.92669683374622
66,432.0,92.9921925995709
67,434.0,93.05651572375702
68,436.0,93.11966620630456
69,438.0,93.18164404721352
70,440.0,93.24244924648391
71,442.0,93.30208180411574
72,444.0,93.360541720109
73,446.0,93.41782899446368
74,448.0,93.47394362717978
75,450.0,93.52888561825732
76,452.0,93.58265496769627
77,454.0,93.63525167549666
78,456.0,93.68667574165848
79,458.0,93.73692716618172
80,460.0,93.78600594906639
81,462.0,93.83391209031248
82,464.0,93.88064558992001
83,466.0,93.92620644788896
84,468.0,93.97059466421933
85,470.0,94.01381023891115
86,472.0,94.05585317196437
87,474.0,94.09672346337904
88,476.0,94.13642111315512
89,478.0,94.17494612129265
90,480.0,94.21229848779159
91,482.0,94.24847821265196
92,484.0,94.28348529587375
93,486.0,94.31731973745698
94,488.0,94.34998153740163
95,490.0,94.3814706957077
96,492.0,94.41178721237522
97,494.0,94.44093108740415
98,496.0,94.46890232079451
99,498.0,94.49570091254628
100,500.0,94.52132686265952
101,502.0,94.54578017113415
102,504.0,94.56906083797023
103,506.0,94.59116886316772
104,508.0,94.61210424672664
105,510.0,94.63186698864699
106,512.0,94.65045708892879
107,514.0,94.667874547572
108,516.0,94.68411936457662
109,518.0,94.69919153994269
110,520.0,94.71309107367017
111,522.0,94.72581796575909
112,524.0,94.73737221620944
113,526.0,94.7477538250212
114,528.0,94.7569627921944
115,530.0,94.76499911772902
116,532.0,94.77186280162508
117,534.0,94.77755384388256
118,536.0,94.78207224450146
119,538.0,94.7854180034818
120,540.0,94.78759112082355
121,542.0,94.78859159652674
122,544.0,94.78841943059136
123,546.0,94.7870746230174
124,548.0,94.78455717380487
125,550.0,94.78086708295376
126,552.0,94.7760043504641
127,554.0,94.76996897633585
128,556.0,94.76276096056904
129,558.0,94.75438030316364
130,560.0,94.74482700411968
131,562.0,94.73410106343714
132,564.0,94.72220248111603
133,566.0,94.70913125715634
134,568.0,94.6948873915581
135,570.0,94.67947088432128
136,572.0,94.66288173544586
137,574.0,94.64511994493189
138,576.0,94.62618551277934
139,578.0,94.60607843898823
