,Wavelength,QE
0,298.71182650060285,0.1385903976500029
1,299.7053219409952,0.1357469168778813
2,300.7351372585991,0.09748230210487659
3,301.617851402665,0.11768345135026517
4,302.61329482095164,0.0907333428433741
5,303.59541244599865,0.10834158123245534
6,304.64112146892137,0.0943431628972229
7,305.6056953048777,0.07876787194042444
8,306.5783468083311,0.08974908122346771
9,307.6033058634009,0.07971481399123972
10,308.57219089186776,0.0806270763571866
11,309.63236366394705,0.07348490434319961
12,310.57292703441544,-0.035159480951092406
13,311.5092319185444,0.06437160753376005
14,312.55365494002217,0.05845064807717648
15,313.55597574456505,0.03985902909780107
16,314.5421854647501,0.2199128082173125
17,315.50316891733945,0.1292972111026967
18,316.4885658814457,0.11641403224501976
19,317.4713588053887,0.12894194018601993
20,318.4880724196047,0.21701751245523232
21,319.4396022008582,0.25447159692440596
22,320.41915562048285,0.23310803119151036
23,321.4042481433712,0.28182169311341554
24,322.45628923511094,0.46419114173430165
25,323.4057944375987,0.509814868637551
26,324.3444568570965,0.5369574469097145
27,325.34756041528647,0.6225879519458525
28,326.3962430142555,0.7420409677639386
29,327.35639298389947,0.8793894884360045
30,328.30953628058114,1.0587358625939605
31,329.27346641504244,1.1888873138465121
32,330.2486718263737,1.4454851182662878
33,331.26638976885744,1.559116266876688
34,332.21383448507754,1.8247032441061295
35,333.188022713692,2.0351074343534616
36,334.19509680633206,2.3181705504509713
37,335.16349573352136,2.572348377898213
38,336.1828687290466,2.940901127220879
39,337.11092064764404,3.174310860887244
40,338.1281683542365,3.64608815249265
41,339.0737402741057,3.996060230194355
42,340.061041403849,4.367547452895491
43,341.03107234324574,4.8066900811910696
44,342.0434493792462,5.2927309223647026
45,343.0272397310477,5.7362351325555085
46,343.99097671159035,6.209702131980184
47,344.99531435794694,6.728717734836547
48,345.9767610149587,7.282876657204011
49,347.02698579845594,7.850288725911048
50,347.9548925391792,8.403675240306223
51,348.93439269851785,9.04001648976109
52,349.9284655271758,9.622932481371063
53,350.95727635613264,10.217401670430588
54,351.9656710733554,10.92795713011545
55,352.9457536580368,11.541557495959863
56,353.913937112674,12.33204440562585
57,354.9149790123493,13.040668383639051
58,355.9842004781989,13.840623591358906
59,356.9314537903499,14.485492196258482
60,357.880967516395,15.157705085350631
61,358.86892260887447,15.943732423523594
62,359.9020860508582,16.80205145041342
63,360.9261536579824,17.667660207090126
64,361.9304576495115,18.531769297318505
65,362.9125569083628,19.35345538078009
66,363.8881586926961,20.343754709389064
67,364.9682803865466,21.5689502045854
68,365.9645637771328,22.690225752217305
69,366.990205095302,23.930858464978645
70,367.97188226094073,25.227192628246996
71,368.9401958690499,26.340536302962096
72,370.0230051678032,27.741782253448104
73,371.0363874821868,29.042156606987586
74,372.07795632632457,30.464082895749954
75,373.0867168589023,31.71783746579038
76,374.0663224054048,33.127399704192946
77,375.0964708210514,34.34186734377846
78,376.1471230725746,35.59858709888443
79,377.1607721702581,36.92304679305703
80,378.1678599901456,38.44202366365561
81,379.1656021019036,40.05990709604519
82,380.1738071321111,41.65775044211844
83,381.2220415976904,42.99878610058214
84,382.23835096357885,43.98361601432077
85,383.2437602687212,45.16376505772069
86,384.2610158586965,46.482935925832294
87,385.26167200974953,47.936626470600416
88,386.2771733968602,49.22746560647438
89,387.3665319555608,50.05214817603769
90,388.3513725009765,50.85491222886196
91,389.3376927552595,51.73946853671288
92,390.3252142753529,52.56649644049121
93,391.37455123453714,53.68229623975199
94,392.3752540301463,54.879447677441526
95,393.42772544792473,55.9005899889087
96,394.3863599074676,56.865147797178615
97,395.3726696260453,57.83442244808088
98,396.430019066833,58.878818283557976
99,397.3967527991361,59.957691557666614
100,398.4303951763828,61.09070169568973
101,399.3676377550189,61.81504933777923
102,400.3782803150306,62.55078101040263
103,401.3604435926276,63.16348366594886
104,402.3503385591249,63.687056438130604
105,403.3707511031219,63.79268014203582
106,404.3866764886513,64.31712630333404
107,405.3523184835309,64.95435927381418
108,406.3385461861945,65.63660067659643
109,407.330510399462,66.4637862289693
110,408.3451410123314,67.3192933900524
111,409.3826060561951,68.05286641086812
112,410.3117162129457,68.50242055170807
113,411.2823207396749,68.94517428439384
114,412.3279593098243,69.60172264992302
115,413.29964026058167,70.29389276813508
116,414.3497546966167,71.44525847683548
117,415.2740899314188,72.51015932199128
118,416.26708968643305,73.37901656020617
119,417.2501110020811,74.02918991256394
120,418.2580441120553,74.2207457082672
121,419.28069918558856,74.68392157373823
122,420.2278941805719,74.93594415055983
123,421.2117731993956,75.45229646702705
124,422.181484350603,76.34709754788251
125,423.2508541371649,77.17350460642453
126,424.2464559275756,77.7064378161798
127,425.2111320020402,78.00882567276822
128,426.1674246532695,78.20525211165796
129,427.12854168491,78.3570516381851
130,428.16294564036247,78.39098621886698
131,429.12903028566615,78.74194568461934
132,430.153461726578,79.36642031969657
133,431.08677142529865,79.96455149997168
134,432.0792400103219,80.45511524740256
135,433.0906984096713,80.99037364955159
136,434.1040958359002,81.67974338221384
137,435.0612358565447,81.72949084339092
138,436.02468517111424,81.83416748504754
139,436.998751501904,81.95375323047458
140,438.0077005274746,82.22453059247495
141,438.9730743598881,82.30329414305456
142,439.962624038631,82.57045260170293
143,440.9059060880258,82.63238459083934
144,441.9182203192735,82.98816218315741
145,442.8593812628799,83.28524071835096
146,443.8374389554772,83.29970653886666
147,444.8409302653154,83.60696001841397
148,445.8057018576529,83.3621153934073
149,446.8211766096272,83.60618859934029
150,447.7814179043201,83.45145631650334
151,448.75995075167975,83.62687891950465
152,449.7573073030459,83.81886584759219
