wavelength[nm],wavelength_err[nm],QE,QE_err
298.7271403141488,1.0425237182052045e-07,0.1576602647006612,0.026451386552897988
299.72334712819713,9.832666025121673e-08,0.15120247240100596,0.027335783146493216
300.7604322555527,1.5412343186170158e-07,0.12576467057471002,0.026053816253451986
301.639666332685,1.5566928012462809e-07,0.12450466221336427,0.004842400207773422
302.6399625240073,1.44050206704509e-07,0.09593083868851116,0.01242064020242962
303.6277651311158,1.0866642364133986e-07,0.10033736724097538,0.006619927964608335
304.67646543118576,1.3087355311633365e-07,0.0941845274093855,0.004530515808761391
305.6376318932321,1.2364002653229586e-07,0.09560004697728679,0.01213534511603328
306.6096958954749,1.568115790725244e-07,0.08642083365179236,0.0039634126852305185
307.6369996397713,1.2114779404083412e-07,0.08381562052286172,0.016284100056364475
308.61418449524365,1.0303588552365545e-07,0.07622265492234935,0.01709138358624484
309.6719555534756,1.372137867761932e-07,0.07881831936995022,0.011623107371293217
310.6150667148653,1.4014057794161006e-07,0.06985467816952073,0.11287980048026962
311.5550800018551,1.6399330028079926e-07,0.11238912035083488,0.04025936391239834
312.59909507605283,1.0440166650474813e-07,0.07989364647258577,0.018282744902660006
313.60478792579147,1.4711722032650326e-07,0.10358350134064132,0.0699058601350437
314.59244383759966,1.4099765884880325e-07,0.2111451502530746,0.007438939898014585
315.5497317388421,1.317321741469909e-07,0.14375144435398288,0.04476852235556782
316.53162951788903,1.2840386057689626e-07,0.08660971139889494,0.06060140972981781
317.52025345944674,1.1864178717603937e-07,0.1530338981549966,0.018866804281152404
318.53492829901194,1.1407583678993195e-07,0.2175985038972635,0.022591007711798086
319.47980978460635,1.2929994759294246e-07,0.19677740835865512,0.042109102924769444
320.4573267797706,1.397897336932471e-07,0.24919679834456954,0.020529901093148385
321.4396201881604,1.2705836578013976e-07,0.2608109662708416,0.04081131503662538
322.4867769204501,1.6216712209881226e-07,0.3828745448692082,0.07782803439912363
323.4306063862204,1.2867530654162344e-07,0.45381538263117954,0.04304100266287458
324.3635797498439,1.2175432468217326e-07,0.40953547265330625,0.09664760801521528
325.3594451197385,1.3170346977164625e-07,0.5176446575227371,0.07743524693214286
326.39972658213287,1.518653360351655e-07,0.6403979364776888,0.08183459946519434
327.36787290556947,1.3324250505585425e-07,0.7543440447451074,0.13758783116714815
328.3210967770628,8.788753611980039e-08,0.9254353354239448,0.11521961183837659
329.2797731779192,1.0437232849997476e-07,1.079647108802865,0.10822880425812664
330.25123490908976,1.8553314406848417e-07,1.2449736628804382,0.17237592582229846
331.27564787878515,1.204919941760472e-07,1.4036837286257466,0.16990723394485988
332.2205076678176,1.137434092758878e-07,1.6133285943579558,0.15946244745031973
333.1927720766769,9.943394285952477e-08,1.8399432095523445,0.1703224890877521
334.1930650287407,1.6549912552732425e-07,2.082966256443307,0.19481253625770323
335.1665686658317,1.471380266611792e-07,2.3645087665534104,0.18353628671062788
336.1883184165124,1.0879226887113353e-07,2.659517266232788,0.23256747541855155
337.11924484584114,7.490777362971183e-08,2.925739793448733,0.21025667963943565
338.139716752569,1.309038538746945e-07,3.3031731370529918,0.26898488383716496
339.08712915270297,1.4607623145040297e-07,3.650699166802818,0.2620103417193405
340.07258811579374,1.7616826124396146e-07,4.008174047658135,0.25963960354624194
341.0450257193912,1.219534470695709e-07,4.432973469016139,0.2782181708074106
342.05463424481434,1.4760518958199274e-07,4.814886168653835,0.33996528198119647
343.0389802129644,1.6680157278928e-07,5.257138623765743,0.3478328349665217
344.007959101165,1.540757089562351e-07,5.697845820268717,0.363475575113795
345.01077941791624,1.311877030027557e-07,6.182706557488218,0.38968087388461786
345.9927802926766,9.81607085745014e-08,6.719099600105355,0.39866980805848
347.0497795593888,1.5439001189070192e-07,7.304669759905988,0.3879822072807995
347.980486752961,1.2056009366741546e-07,7.840865333579863,0.39995777480228384
348.95996437945905,1.3112717651003973e-07,8.417606034966344,0.44013092185812
