Wavelength,QE
298.7271403141490,0.1576602647006610
299.72334712819700,0.15120247240100600
300.7604322555530,0.12576467057471000
301.639666332685,0.12450466221336400
302.6399625240070,0.09593083868851120
303.6277651311160,0.10033736724097500
304.67646543118600,0.0941845274093855
305.6376318932320,0.09560004697728680
306.6096958954750,0.08642083365179240
307.6369996397710,0.08381562052286170
308.61418449524400,0.07622265492234940
309.6719555534760,0.07881831936995020
310.6150667148650,0.06985467816952070
311.5550800018550,0.11238912035083500
312.59909507605300,0.07989364647258580
313.60478792579100,0.10358350134064100
314.59244383760000,0.2111451502530750
315.5497317388420,0.14375144435398300
316.53162951788900,0.08660971139889490
317.52025345944700,0.1530338981549970
318.53492829901200,0.2175985038972640
319.47980978460600,0.19677740835865500
320.4573267797710,0.24919679834457000
321.4396201881600,0.2608109662708420
322.4867769204500,0.3828745448692080
323.4306063862200,0.45381538263118000
324.3635797498440,0.40953547265330600
325.3594451197390,0.5176446575227370
326.39972658213300,0.6403979364776890
327.36787290556900,0.7543440447451070
328.3210967770630,0.9254353354239450
329.2797731779190,1.079647108802870
330.25123490909000,1.2449736628804400
331.27564787878500,1.4036837286257500
332.2205076678180,1.6133285943579600
333.1927720766770,1.8399432095523400
334.1930650287410,2.082966256443310
335.1665686658320,2.3645087665534100
336.1883184165120,2.659517266232790
337.11924484584100,2.925739793448730
338.139716752569,3.3031731370529900
339.08712915270300,3.650699166802820
340.07258811579400,4.008174047658140
341.0450257193910,4.432973469016140
342.05463424481400,4.814886168653840
343.0389802129640,5.257138623765740
344.007959101165,5.697845820268720
345.01077941791600,6.182706557488220
345.9927802926770,6.719099600105360
347.0497795593890,7.304669759905990
347.980486752961,7.840865333579860
348.95996437945900,8.417606034966340
349.9586220033760,8.959837066005020
350.9864304499270,9.589504031396250
351.9937082983770,10.246780331025800
352.97355647126600,10.879522429959700
353.9474984348840,11.551970740831300
354.94694330735600,12.220870580924100
356.0181361760540,13.026653132489300
356.9640606715480,13.747613472319800
357.9115598354630,14.45679563454550
358.8932564818400,15.299433340184300
359.9209681231350,16.18110521876620
360.94164881515800,17.098707790026100
361.941590583666,18.00591455850410
362.920659313848,18.971075730047900
363.8947012768150,20.029234618968200
364.9719360812720,21.218381271497300
365.97190928285700,22.335569538585700
366.9953098865070,23.486626605464600
367.97041162926600,24.619273272667100
368.9379359821680,25.796270790505100
370.01837842103900,27.209430900011400
371.0383845686760,28.617664449275100
372.07298925170300,30.061646161674500
373.0823386782920,31.418088141070800
374.0655060397230,32.82223282437050
375.1013311572800,34.20810654409740
376.1507408200280,35.74584029707950
377.148733050875,37.25294505178000
378.155248280233,38.75933503372690
379.1502849869740,40.215646982841500
380.1649048963130,41.55195325103200
381.2282872424910,42.88253072392890
382.2415392614610,44.122116854881800
383.24970083520200,45.383954075765900
384.2702289442310,46.71290763178880
385.2703526590990,47.96950794077400
386.298450506948,49.098477531693300
387.3816997299950,50.105695820796800
388.368499767188,51.26144095804810
389.3606208750980,52.47459774928890
390.3485008309030,53.604345923917200
391.4001909673100,54.95511566115260
392.40724417768700,56.063443326501600
393.45749866203500,57.20379724409550
394.4083999662030,58.04825439079040
395.3892694582630,58.96759747276290
396.4420935432100,59.87153472330910
397.4076032029620,60.738953077332400
398.4345242196640,61.53623830320070
399.3685079789890,62.02808728480280
400.3781020544630,62.53480722023150
401.3604989968510,63.09873049006500
402.3511971661410,63.75218579467510
403.3682306848810,64.37548512726090
404.3811964060830,65.36991570426950
405.3486843318460,66.28601628953690
406.3353856028610,67.21584158497130
407.3335526254680,67.95120341719030
408.3450632692430,68.67971845574150
409.3889711455370,69.37137554106150
410.31924752592600,70.02116197334500
411.2937097066860,70.78214835542040
412.33880697087200,71.6489341460565
413.3108803709470,72.50304537102120
414.3511524845730,73.30977386359870
415.2869768965870,73.82649419821020
416.28646079510900,74.35159417642520
417.2743815907650,74.7121143044937
418.2854915935310,75.00865000387950
419.3097265143980,75.53546845751530
420.2576960197570,76.05276499973750
421.24208134214500,76.59416826095980
422.21071463185900,77.23397526531450
423.2830876032270,77.86605694644260
424.2788053312130,78.19153701172230
425.2432081194110,78.46204703458420
426.2005436063430,78.61410479045490
427.1665212067200,78.8820959787621
428.1947042661470,79.2538266533111
429.1670997948090,79.71845198179450
430.1843009130910,80.27488802214520
431.1109562440450,80.78487160238850
432.095146736968,81.32126731121080
433.1132923970520,81.58807788532940
434.1336964114190,81.90279310767350
435.0920627545770,81.80749114892330
436.05727222152200,81.80846346459760
437.0251664737780,81.98299343532730
438.0361663954230,82.07009567825120
439.0107609552690,82.32341609536940
439.99933169377800,82.48218436712440
440.9458914552440,82.63665819800610
441.9579218714310,82.79033272937740
442.9073874220790,82.9017061444028
443.89230306436000,83.01066298391690
444.8965579356290,83.23090624135290
445.8713217951440,83.32874702196550
446.878426848486,83.66903723349290
447.8340900294060,83.82450232607730
448.8120129063690,84.13663330887820
449.812080344801,84.40413226834980
450.8292241179400,84.5225852396515
451.82120902251800,84.65284377655840
452.7983272504960,84.68148922454280
453.7704051045930,84.724947683575
454.7389806925480,84.94767666355270
455.7310096679790,85.00326725684910
456.7423534523610,85.19718555893240
457.75821473281300,85.41568920880690
458.7455996878570,85.65377394017740
459.7250215460840,85.71499961542340
460.6870799013620,85.70041477751700
461.73976478932600,85.85126969861060
462.7682182605550,85.67727588917860
463.71692223770400,85.74476290124710
464.7375009394560,85.76686573203620
465.6716459654210,85.8219187991371
466.6653426624000,85.93317080905700
467.6857760262800,86.1530126194388
468.682351158894,86.38697658597000
469.7024561079330,86.48931619400160
