,Wavelength,Throughput
266,466,2.18973e-05
267,467,1.51371e-05
268,468,9.72997e-06
269,469,6.30932e-06
270,470,4.45665e-06
271,471,3.48793e-06
272,472,2.91669e-06
273,473,2.65283e-06
274,474,2.61595e-06
275,475,2.74817e-06
276,476,3.06093e-06
277,477,3.56556e-06
278,478,4.36822e-06
279,479,5.51237e-06
280,480,7.05483e-06
281,481,8.80879e-06
282,482,1.07623e-05
283,483,1.26844e-05
284,484,1.4647e-05
285,485,1.67703e-05
286,486,1.96507e-05
287,487,2.38478e-05
288,488,2.86088e-05
289,489,3.22357e-05
290,490,3.25647e-05
291,491,2.94126e-05
292,492,2.50731e-05
293,493,2.08208e-05
294,494,1.78619e-05
295,495,1.60106e-05
296,496,1.51643e-05
297,497,1.51847e-05
298,498,1.57616e-05
299,499,1.68872e-05
300,500,1.83384e-05
301,501,1.99933e-05
302,502,2.1468e-05
303,503,2.28589e-05
304,504,2.48089e-05
305,505,2.70051e-05
306,506,2.99973e-05
307,507,3.38876e-05
308,508,3.76555e-05
309,509,4.08114e-05
310,510,4.25374e-05
311,511,4.30877e-05
312,512,4.3054e-05
313,513,4.21393e-05
314,514,4.08622e-05
315,515,3.98147e-05
316,516,3.92264e-05
317,517,3.89558e-05
318,518,3.92403e-05
319,519,3.96708e-05
320,520,3.97355e-05
321,521,3.9524e-05
322,522,3.86652e-05
323,523,3.74419e-05
324,524,3.60502e-05
325,525,3.48233e-05
326,526,3.41525e-05
327,527,3.40235e-05
328,528,3.42545e-05
329,529,3.54903e-05
330,530,3.73355e-05
331,531,4.00856e-05
332,532,4.40468e-05
333,533,4.93321e-05
334,534,5.65428e-05
335,535,6.62941e-05
336,536,7.93815e-05
337,537,9.71781e-05
338,538,0.000121911
339,539,0.000156051
340,540,0.000205232
341,541,0.000276604
342,542,0.000380808
343,543,0.000538404
344,544,0.00077905
345,545,0.00115673
346,546,0.00176807
347,547,0.0027628
348,548,0.00444188
349,549,0.00732138
350,550,0.0123127
351,551,0.0212395
352,552,0.0369383
353,553,0.0642318
354,554,0.109395
355,555,0.176453
356,556,0.264398
357,557,0.362863
358,558,0.455285
359,559,0.532797
360,560,0.592721
361,561,0.640168
362,562,0.678297
363,563,0.711033
364,564,0.737522
365,565,0.759299
366,566,0.774355
367,567,0.785541
368,568,0.792968
369,569,0.799086
370,570,0.805093
371,571,0.813398
372,572,0.824485
373,573,0.83832
374,574,0.852931
375,575,0.870626
376,576,0.887469
377,577,0.902611
378,578,0.916002
379,579,0.926175
380,580,0.934555
381,581,0.941622
382,582,0.947349
383,583,0.95285
384,584,0.959495
385,585,0.965381
386,586,0.971467
387,587,0.97697
388,588,0.981023
389,589,0.98436
390,590,0.98628
391,591,0.987819
392,592,0.987328
393,593,0.987691
394,594,0.986699
395,595,0.987024
396,596,0.986992
397,597,0.987627
398,598,0.987152
399,599,0.986938
400,600,0.986122
401,601,0.983778
402,602,0.982052
403,603,0.980755
404,604,0.979254
405,605,0.978463
406,606,0.978482
407,607,0.98003
408,608,0.981144
409,609,0.983118
410,610,0.986055
411,611,0.987946
412,612,0.988877
413,613,0.98988
414,614,0.990206
415,615,0.990435
416,616,0.989494
417,617,0.989065
418,618,0.989541
419,619,0.989507
420,620,0.990136
421,621,0.990726
422,622,0.991473
423,623,0.991121
424,624,0.990601
425,625,0.989114
426,626,0.987211
427,627,0.984282
428,628,0.981477
429,629,0.978349
430,630,0.975519
431,631,0.973091
432,632,0.971882
433,633,0.970385
434,634,0.969646
435,635,0.969609
436,636,0.970513
437,637,0.970653
438,638,0.971439
439,639,0.971713
440,640,0.972754
441,641,0.973633
442,642,0.97418
443,643,0.974764
444,644,0.975186
445,645,0.976395
446,646,0.976844
447,647,0.977526
448,648,0.977576
449,649,0.978248
450,650,0.977796
451,651,0.977266
452,652,0.976303
453,653,0.975857
454,654,0.974276
455,655,0.972374
456,656,0.970571
457,657,0.968498
458,658,0.966736
459,659,0.964339
460,660,0.96236
461,661,0.960963
462,662,0.95913
463,663,0.957542
464,664,0.955241
465,665,0.953454
466,666,0.950829
467,667,0.947782
468,668,0.943573
469,669,0.937792
470,670,0.931159
471,671,0.923149
472,672,0.914271
473,673,0.904739
474,674,0.89384
475,675,0.884811
476,676,0.874508
477,677,0.865294
478,678,0.857106
479,679,0.849761
480,680,0.842783
481,681,0.835038
482,682,0.825937
483,683,0.813853
484,684,0.795916
485,685,0.768365
486,686,0.728397
487,687,0.67184
488,688,0.599384
489,689,0.512052
490,690,0.417394
491,691,0.324435
492,692,0.24204
493,693,0.174191
494,694,0.122465
495,695,0.0849263
496,696,0.0587571
497,697,0.0405846
498,698,0.0281278
499,699,0.0197249
500,700,0.0139204
501,701,0.00996408
502,702,0.00719532
503,703,0.00525531
504,704,0.00389504
505,705,0.00290478
506,706,0.00219437
507,707,0.00167761
508,708,0.00129148
509,709,0.00100156
510,710,0.000787509
511,711,0.00062165
512,712,0.000495639
513,713,0.000399188
514,714,0.000322224
515,715,0.000263242
516,716,0.00021638
517,717,0.000178568
518,718,0.000148771
519,719,0.000124278
520,720,0.000104877
521,721,8.86261e-05
522,722,7.55444e-05
523,723,6.47287e-05
524,724,5.55376e-05
525,725,4.79452e-05
526,726,4.16025e-05
527,727,3.63356e-05
528,728,3.19052e-05
529,729,2.77789e-05
530,730,2.45389e-05
531,731,2.13682e-05
532,732,1.88047e-05
533,733,1.64925e-05
534,734,1.42036e-05
535,735,1.24314e-05
536,736,1.0975e-05
537,737,9.54472e-06
538,738,8.24724e-06
539,739,7.24907e-06
540,740,6.17531e-06
541,741,5.50883e-06
542,742,4.92684e-06
543,743,4.3159e-06
544,744,3.98254e-06
545,745,3.4852e-06
546,746,3.28445e-06
547,747,3.03688e-06
548,748,2.78697e-06
549,749,2.72854e-06
550,750,2.623e-06
551,751,2.45929e-06
552,752,2.4412e-06
553,753,2.50102e-06
554,754,2.59747e-06
555,755,2.6596e-06
556,756,2.84886e-06
557,757,3.02824e-06
558,758,3.25621e-06
559,759,3.46426e-06
560,760,3.65457e-06
561,761,3.6026e-06
562,762,3.63129e-06
563,763,3.31391e-06
564,764,3.0958e-06
565,765,2.73256e-06
566,766,2.22357e-06
567,767,1.80242e-06
568,768,1.59803e-06
569,769,1.33819e-06
570,770,1.14616e-06
571,771,1.11217e-06
572,772,9.16653e-07
573,773,8.98915e-07
574,774,8.08133e-07
575,775,7.91339e-07
576,776,7.36686e-07
577,777,7.87002e-07
578,778,7.71582e-07
579,779,7.57038e-07
580,780,7.61907e-07
581,781,7.60491e-07
582,782,7.98875e-07
583,783,8.31532e-07
584,784,9.46579e-07
585,785,1.00639e-06
586,786,1.14088e-06
587,787,1.20807e-06
588,788,1.59606e-06
589,789,1.82507e-06
590,790,2.34434e-06
591,791,3.25232e-06
592,792,4.81076e-06
593,793,7.64998e-06
594,794,1.08845e-05
595,795,1.2944e-05
596,796,1.306e-05
597,797,1.0813e-05
598,798,7.71158e-06
599,799,5.6961e-06
600,800,6.71e-06
601,801,6.04388e-06
602,802,5.47174e-06
603,803,4.81612e-06
604,804,4.00097e-06
605,805,3.58205e-06
606,806,3.06914e-06
607,807,2.81773e-06
608,808,2.51755e-06
609,809,2.56029e-06
610,810,2.5001e-06
611,811,2.73323e-06
612,812,2.96515e-06
613,813,3.64196e-06
614,814,4.70599e-06
615,815,6.20998e-06
616,816,7.84414e-06
617,817,9.58893e-06
618,818,1.1354e-05
619,819,1.31556e-05
620,820,1.48612e-05
621,821,1.64797e-05
622,822,1.7785e-05
623,823,1.837e-05
624,824,1.83126e-05
625,825,1.75392e-05
626,826,1.61457e-05
627,827,1.4472e-05
628,828,1.25762e-05
629,829,1.07379e-05
630,830,8.82482e-06
631,831,7.09287e-06
632,832,5.34777e-06
633,833,3.93401e-06
634,834,2.84529e-06
635,835,2.12526e-06
636,836,1.78857e-06
637,837,1.51384e-06
638,838,1.41256e-06
639,839,1.34558e-06
640,840,1.34934e-06
641,841,1.42426e-06
642,842,1.80524e-06
643,843,2.43094e-06
644,844,3.33022e-06
645,845,4.26605e-06
646,846,5.41719e-06
647,847,6.44606e-06
648,848,7.40953e-06
649,849,8.50357e-06
650,850,9.46754e-06
651,851,1.02919e-05
652,852,1.07272e-05
653,853,1.02725e-05
654,854,9.25753e-06
655,855,8.29195e-06
656,856,7.0138e-06
657,857,5.5386e-06
658,858,4.21658e-06
659,859,3.13825e-06
660,860,1.76011e-06
661,861,1.16332e-06
662,862,8.72264e-07
663,863,8.98738e-07
664,864,6.64616e-07
665,865,5.98899e-07
666,866,4.91454e-07
667,867,5.15019e-07
668,868,5.86047e-07
669,869,5.42222e-07
670,870,4.83527e-07
671,871,6.17377e-07
